neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,year,month,day
0,34,1,181,0.001001001001001001,1,0.0023094688221709007,0,0,2015,7,24
1,27,1,269,0.004004004004004004,0,0.0007698229407236335,0,0,2014,12,29
1,29,1,215,0.003003003003003003,2,0.006158583525789068,0,0,2015,8,27
1,37,0,110,0.0890890890890891,2,0.006158583525789068,0,281,2016,7,31
0,8,0,50,0.002002002002002002,0,0.0015396458814472668,1,362,2016,8,1
0,8,0,75,0.0,0,0.0007698229407236335,1,365,2015,9,29
1,32,1,281,0.001001001001001001,3,0.03079291762894534,2,358,2019,8,4
0,34,0,99,0.004004004004004004,2,0.022324865280985373,1,284,2019,3,16
1,24,0,78,0.004004004004004004,3,0.04080061585835258,1,307,2018,8,16
1,24,0,87,0.004004004004004004,3,0.026943802925327172,1,269,2018,10,3
1,39,1,319,0.0,3,0.020015396458814474,2,358,2019,8,5
1,38,1,200,0.06906906906906907,1,0.0038491147036181675,1,364,2017,8,20
1,21,0,42,0.0890890890890891,0,0.0015396458814472668,3,365,2016,12,1
1,21,0,99,0.0890890890890891,1,0.004618937644341801,3,326,2018,2,1
1,31,1,119,0.013013013013013013,3,0.026173979984603538,3,89,2019,3,11
1,39,0,125,0.0,0,0.041570438799076216,0,0,2019,8,12
1,17,0,60,0.0,1,0.016936104695919937,1,356,2019,8,2
1,25,0,150,0.0,0,0.041570438799076216,1,364,2019,8,12
1,31,0,90,0.0,3,0.20554272517321018,2,337,2019,8,12
1,21,0,58,0.0890890890890891,3,0.22940723633564283,0,126,2019,7,29
1,30,1,119,0.02702702702702703,2,0.008468052347959968,3,50,2019,3,27
1,22,1,186,0.006006006006006006,3,0.11932255581216321,2,363,2019,8,15
1,35,1,144,0.006006006006006006,3,0.024634334103156273,2,0,2019,4,30
1,31,0,60,0.0,3,0.08545034642032333,2,342,2019,8,10
1,31,0,60,0.0,3,0.047729022324865276,2,350,2019,8,3
1,30,0,125,0.0,0,0.0007698229407236335,0,0,2015,1,16
1,27,0,82,0.003003003003003003,1,0.005388760585065436,0,365,2018,9,13
1,20,0,50,0.0,0,0.041570438799076216,0,0,2019,8,12
1,31,1,181,0.004004004004004004,3,0.08929946112394149,3,34,2019,8,2
1,25,0,92,0.0,2,0.01077752117013087,1,266,2017,7,4
